text,label
1 detik langsung habis sih,0
1 notif 1 menit belajar moai melipat tangan warna kulit gelap sedang,0
1 ribu dolar 1 miliar lebih wajah gembira berurai air mata,0
1 tahun tanpa figur seorang ayah itu sangat berat lo,0
10 10 bagi aku,0
10 kebaikan akan kalah dengan 1kesalahan,0
16 udah jadi mimpi ngeri kpd vardrid wajah kucing gembira berurai air mata,0
180k lepas gak bang,0
1924 empat tahun sebelum sumpah pemuda 1928 nama indonesia adh dikumandangkan sangat kagum dengan beliau memperjuangkan indonesia,0
19jt lapangan kerja mana woi tertawa terbahak bahak tertawa terbahak bahak,0
2 90 0 dislike 260 like,0
2 bulan bro 2 bulan bayangkan moai moai,0
20 tahun reza lagi reza lagi,0
2025 kelen udah bisa berdiri ya tertawa terbahak bahak,0
2025 masih mulet menunjuk ke atas wajah terlalu lelah,0
2025 masih mulet wajah terlalu lelah,0
2025 mulai pakai celana cutbray lagi wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia,0
2025 skiny jeans wajah menangis keras,0
2025 tp msh mulet,0
2029 siapa ya presiden nya,0
2030 s d 2045 ya wow mau jadi pres 2 periode hahahahaha,0
2045 indonesia akan jadi negara maju moai,0
250 ribu mau gak gus,0
26 jt doang njr pdhl 1 tahun kerja juga dapet wajah kucing gembira berurai air mata,0
26 juli bukanya sabtu kak melipat tangan,0
26 july tangal lahir ku pas banget wajah menangis keras wajah menangis keras makasih yah haji toriq melipat tangan,0
2x ngerasain beh,0
5tahun aja udah sul gausah ngomong 2030 2045,0
9 maret tgl lahir aku wajah tersenyum lebar dan berkeringat,0
a i semakin mengerikan,0
a kakel aku juga ada yg di kaist tapi s2,0
a team selalu terdepan,0
abah carabya gabung gimana,0
absen dulu sebelum ribuan orang wajah memberikan ciuman jauh jempol ke atas,0
acaranya pakai adat jawa tapi ulan suro diterjang aja pakai acara akad nikah gak bahaya ta wajah menangis keras wajah tersenyum lebar dan berkeringat,0
acaranya tdk ada di tv ya,0
aceh indonesia tanda silang thailand tanda centang tebal,0
ada aja gebrakan nya wajah menangis keras,0
ada aja gebrakanya tertawa terbahak bahak,0
ada aja ide nya wajah menangis keras,0
ada aja idenya wajah menangis keras,0
ada aja polahnya yg bikin gemez,0
ada aku,0
ada alasan mengapa dia bisa mengisi kalian kira ptj sengaja doang letak narasi gitu smua narasi yg dibuat ptj smua ada alasan,0
ada apa gerangn,0
ada di air mancur kak,0
ada harusnya gua disitu wajah sangat marah,0
ada lagi barak kalcer astaga wajah menangis keras wajah menangis keras wajah menangis keras,0
ada lowongan it suport kah enginer juga saya bisa jempol ke atas,0
ada nona ambon ga disitu,0
ada nona ambon gk disini,0
ada rasa apa aja guz wajah gembira dengan mata bahagia,0
ada testimoninya gak kak,0
ada yang bilang kalempong say,0
ada yang mengaruk kepala yg tidak gatal tertawa terbahak bahak,0
ada yang nari didepanya liat dari bayangan pantulan piano,0
ada yang percaya dng hukum dunia khoa,0
ada yg aneh gak sih wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia,0
ada yg komen baca teks tanpa ekspres bener juga agaknya wajah gembira berurai air mata i,0
adam bunga jokes bang jawin,0
adat dan tradisi susah dihapus wajah gembira berurai air mata nenek gua dulu jg gitu wajah tersenyum lebar dan berkeringat,0
adat jawa kalo bulan suro ndak boleh nikah wajah tersenyum dengan 3 hati wajah tersenyum dengan 3 hati wajah tersenyum dengan 3 hati melipat tangan melipat tangan,0
adat jawa wht kok kek mirip adat sunda sieh wajah menangis keras wajah menangis keras,0
adat tetap lah adat akan tep bekesinambungan dn gak bisa dibuang begitu sja,0
ade aje idenya per calceran ini wajah lega,0
ade lucu bgt wajah stres,0
adek gua langsung jadi orang eropa jir,0
adek kaya orang tua ih wajah menangis keras,0
adik ya sabrina puteri indonesia riau 2018 gila keluarga smart semua ini wajah tersipu,0
adil bukan berarti sama rata,0
adil itu bukan harus berarti sama wajah tersenyum sombong,0
admin ketika ketemu presiden indonesia ya gak mungkin moai,0
adu fakta di pengadilan fair,0
aduduh montok ajdha wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia wajah tersenyum dengan 3 hati wajah tersenyum dengan 3 hati,0
aduh adek wajah memelas wajah tersenyum lebar bermata hati hati biru,0
aduh bayik,0
aduh gantengnya,0
aduh jadi nostalgia waktu dulu gw ngopi di warkop rengasdengklok,0
aduh k na gemesnya wajah tersenyum dengan 3 hati wajah tersenyum dengan 3 hati wajah tersenyum dengan 3 hati,0
aduh kak bela kamu ngk sendiri ko ada nona ambon ngk disini,0
aduh org ko keren2 bgt ya,0
